Alert ID,Ticker,Name,Description,Time
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.514}",2025-04-11T17:21:28Z
2157884841,"COMEX:HG1!, 5m",,"{""symbol"":""HG1!"",""side"":""S"",""price"":4.5105}",2025-04-11T17:20:39Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.515}",2025-04-11T17:06:20Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.514}",2025-04-11T17:00:06Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.514}",2025-04-11T16:57:35Z
2157886255,"NYMEX:PL1!, 5m",,"{""symbol"":""PL1!"",""side"":""S"",""price"":945.4}",2025-04-11T16:50:24Z
2157900320,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""S"",""price"":31.89}",2025-04-11T16:50:02Z
2157889493,"COMEX:GC1!, 5m",,"{""symbol"":""GC1!"",""side"":""S"",""price"":3248.2}",2025-04-11T16:39:34Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.514}",2025-04-11T16:32:22Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.514}",2025-04-11T16:28:16Z
2157895916,"CBOT:ZW1!, 5m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":554.5}",2025-04-11T16:06:15Z
2157897738,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""S"",""price"":3.455}",2025-04-11T15:06:16Z
2157897738,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""S"",""price"":3.456}",2025-04-11T14:55:52Z
2157896144,"CBOT:ZW1!, 5m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":550.75}",2025-04-11T14:12:13Z
2157884537,"COMEX:HG1!, 5m",,"{""symbol"":""HG1!"",""side"":""B"",""price"":4.4615}",2025-04-11T14:08:25Z
2157889493,"COMEX:GC1!, 5m",,"{""symbol"":""GC1!"",""side"":""S"",""price"":3239}",2025-04-11T13:55:43Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1029.25}",2025-04-11T13:50:48Z
2157895916,"CBOT:ZW1!, 5m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":552}",2025-04-11T13:45:55Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1029.25}",2025-04-11T13:40:09Z
2157888109,"NYMEX:CL1!, 5m",,"{""symbol"":""CL1!"",""side"":""B"",""price"":60.11}",2025-04-11T13:38:51Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1029.25}",2025-04-11T13:37:23Z
2157885983,"NYMEX:PL1!, 5m",,"{""symbol"":""PL1!"",""side"":""B"",""price"":942.7}",2025-04-11T13:31:11Z
2157897396,"NYMEX:NG1!, 5m",,"{""symbol"":""NG1!"",""side"":""B"",""price"":3.476}",2025-04-11T12:41:16Z
2157888109,"NYMEX:CL1!, 5m",,"{""symbol"":""CL1!"",""side"":""B"",""price"":60.37}",2025-04-11T12:35:11Z
2157888109,"NYMEX:CL1!, 5m",,"{""symbol"":""CL1!"",""side"":""B"",""price"":60.37}",2025-04-11T12:31:22Z
2157889142,"COMEX:GC1!, 5m",,"{""symbol"":""GC1!"",""side"":""B"",""price"":3245.5}",2025-04-11T12:30:03Z
2157884841,"COMEX:HG1!, 5m",,"{""symbol"":""HG1!"",""side"":""S"",""price"":4.441}",2025-04-11T12:12:16Z
2157895916,"CBOT:ZW1!, 5m",,"{""symbol"":""ZW1!"",""side"":""B"",""price"":548}",2025-04-11T12:11:16Z
2157890709,"CBOT:ZC1!, 5m",,"{""symbol"":""ZC1!"",""side"":""B"",""price"":485.25}",2025-04-11T12:09:21Z
2157892128,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1030.75}",2025-04-11T12:08:40Z
2157896144,"CBOT:ZW1!, 5m",,"{""symbol"":""ZW1!"",""side"":""S"",""price"":546}",2025-04-11T11:56:09Z
2157887761,"NYMEX:CL1!, 5m",,"{""symbol"":""CL1!"",""side"":""S"",""price"":59.98}",2025-04-11T11:49:05Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.375}",2025-04-11T11:46:59Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.38}",2025-04-11T11:41:00Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.375}",2025-04-11T11:35:00Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.375}",2025-04-11T11:33:02Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1028.75}",2025-04-11T11:32:13Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1028.75}",2025-04-11T11:28:21Z
2157895309,"CBOT:ZS1!, 5m",,"{""symbol"":""ZS1!"",""side"":""S"",""price"":1028.75}",2025-04-11T11:23:03Z
2157887761,"NYMEX:CL1!, 5m",,"{""symbol"":""CL1!"",""side"":""S"",""price"":59.98}",2025-04-11T11:22:53Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.375}",2025-04-11T11:20:10Z
2157891671,"CBOT:ZC1!, 5m",,"{""symbol"":""ZC1!"",""side"":""S"",""price"":484.25}",2025-04-11T11:19:42Z
2157899697,"COMEX:SI1!, 5m",,"{""symbol"":""SI1!"",""side"":""B"",""price"":31.38}",2025-04-11T11:13:00Z
