Alert ID,Ticker,Name,Description,Time
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.7145}",2025-04-30T07:30:05Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5569.5}",2025-04-30T06:57:01Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5569.5}",2025-04-30T06:31:12Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5569.5}",2025-04-30T06:29:59Z
2223584182,"NYMEX:MNG1!, 15m",,"{""symbol"":""MNG1!"",""side"":""B"",""price"":3.38}",2025-04-30T05:45:34Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40527}",2025-04-30T03:18:17Z
2223593755,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""S"",""price"":40526}",2025-04-30T03:08:33Z
2223593158,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""S"",""price"":5552}",2025-04-30T03:07:13Z
2223586248,"COMEX_MINI:MHG1!, 15m",,"{""symbol"":""MHG1!"",""side"":""S"",""price"":4.8045}",2025-04-30T02:00:03Z
2223589834,"CBOT:ZS1!, 15m",,"{""symbol"":""ZS1!"",""side"":""B"",""price"":1054.25}",2025-04-30T00:01:33Z
2223588529,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""B"",""price"":470.75}",2025-04-30T00:00:09Z
2223589138,"CBOT:ZC1!, 15m",,"{""symbol"":""ZC1!"",""side"":""S"",""price"":463.5}",2025-04-29T15:00:39Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40550}",2025-04-29T14:45:32Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40550}",2025-04-29T14:41:52Z
2223593469,"CBOT_MINI:MYM1!, 15m",,"{""symbol"":""MYM1!"",""side"":""B"",""price"":40550}",2025-04-29T14:05:27Z
2223592996,"CME_MINI:MES1!, 15m",,"{""symbol"":""MES1!"",""side"":""B"",""price"":5556.75}",2025-04-29T14:05:07Z
